COD_PROVINCIA,COD_PROVMUNI,MUNICIPIO,POBLACION_1999,2015_SALDOTOTAL,2015_SALDOTOTAL_HOMBRES,2015_SALDOTOTAL_MUJERES,2015_SALDOEXT_TOTAL,2015_SALDOEXT_HOMBRES,2015_SALDOEXT_MUJERES,2015_SALDOTOTAL_MENORES,2015_SALDOTOTAL_ESTUDIANTES,2015_SALDOTOTAL_TRABAJADORES,2015_SALDOTOTAL_MADUREZ1,2015_SALDOTOTAL_MADUREZ2,2015_SALDOTOTAL_JUBILADOS,2015_SALDOHOMBRES_MENORES,2015_SALDOHOMBRES_ESTUDIANTES,2015_SALDOHOMBRES_TRABAJADORES,2015_SALDOHOMBRES_MADUREZ1,2015_SALDOHOMBRES_MADUREZ2,2015_SALDOHOMBRES_JUBILADOS,2015_SALDOMUJERES_MENORES,2015_SALDOMUJERES_ESTUDIANTES,2015_SALDOMUJERES_TRABAJADORES,2015_SALDOMUJERES_MADUREZ1,2015_SALDOMUJERES_MADUREZ2,2015_SALDOMUJERES_JUBILADOS,2015_SALDOEXT_MENORES,2015_SALDOEXT_ESTUDIANTES,2015_SALDOEXT_TRABAJADORES,2015_SALDOEXT_MADUREZ1,2015_SALDOEXT_MADUREZ2,2015_SALDOEXT_JUBILADOS,2015_SALDOEXT_HOMBRES_MENORES,2015_SALDOEXT_HOMBRES_ESTUDIANTES,2015_SALDOEXT_HOMBRES_TRABAJADORES,2015_SALDOEXT_HOMBRES_MADUREZ1,2015_SALDOEXT_HOMBRES_MADUREZ2,2015_SALDOEXT_HOMBRES_JUBILADOS,2015_SALDOEXT_MUJERES_MENORES,2015_SALDOEXT_MUJERES_ESTUDIANTES,2015_SALDOEXT_MUJERES_TRABAJADORES,2015_SALDOEXT_MUJERES_MADUREZ1,2015_SALDOEXT_MUJERES_MADUREZ2,2015_SALDOEXT_MUJERES_JUBILADOS
1,1001,Alegría-Dulantzi,1329,-22,-21,-1,-15,-5,-10,9,-6,1,-22,-9,3,4,-8,0,-13,-7,2,5,2,1,-9,-2,1,-6,-1,-2,-1,-4,-2,1,-2,-1,0,-3,0,-7,1,-1,-1,-1,-2
1,1002,Amurrio,9753,-13,-17,4,2,-3,5,9,5,-12,-7,0,-10,0,5,-8,-10,0,-5,9,0,-4,3,0,-5,4,9,-5,-7,-2,3,1,6,-5,-4,-2,1,3,3,0,-3,0,2
1,1049,Añana,188,2,2,0,-1,0,-1,-1,0,3,0,0,0,0,1,2,1,-2,0,-1,-1,1,-1,2,0,-1,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,0
1,1003,Aramaio,1373,-18,-4,-14,2,1,1,-6,-5,-2,-3,-1,-1,-2,-1,1,-3,1,0,-4,-4,-3,0,-2,-1,0,0,2,0,0,0,-1,0,2,0,0,0,1,0,0,0,0,0
1,1037,Arraia-Maeztu,712,16,12,4,1,2,-1,3,5,3,2,2,-1,5,2,1,3,1,0,-2,3,2,-1,1,-1,0,2,0,0,0,-1,0,2,0,0,0,0,0,0,0,0,0,-1
1,1008,Arrazua-Ubarrundia,756,-12,-7,-5,-2,-1,-1,3,-10,0,0,-4,-2,3,-4,-2,0,-4,0,0,-6,2,0,0,-2,0,1,0,-1,-2,0,0,0,0,0,-1,0,0,1,0,-1,-1,0
1,1004,Artziniega,1338,17,6,11,-8,-4,-4,12,3,-3,5,-12,9,5,3,-5,5,-5,2,7,0,2,0,-7,7,0,0,0,-2,-5,-1,0,0,0,-1,-2,-1,0,0,0,-1,-3,0
1,1009,Asparrena,1561,-14,-7,-7,-2,-1,-1,-7,-5,2,-1,1,-4,0,-4,2,-3,-1,-1,-7,-1,0,2,2,-3,-1,1,-2,0,0,0,0,0,-1,0,0,0,-1,1,-1,0,0,0
1,1010,Ayala/Aiara,2031,9,13,-4,4,5,-1,2,0,6,6,-5,1,4,1,5,6,-4,2,-2,-1,1,0,-1,-1,4,0,-1,2,-1,0,3,0,0,2,0,0,1,0,-1,0,-1,0
1,1011,Baños de Ebro/Mañueta,333,-3,-2,-1,2,1,1,-1,-1,0,1,-2,0,-1,1,-1,0,-1,0,0,-2,1,1,-1,0,2,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0
