COD_PROVINCIA,COD_PROVMUNI,MUNICIPIO,POBLACION_1999,2007_SALDOTOTAL,2007_SALDOTOTAL_HOMBRES,2007_SALDOTOTAL_MUJERES,2007_SALDOEXT_TOTAL,2007_SALDOEXT_HOMBRES,2007_SALDOEXT_MUJERES,2007_SALDOTOTAL_MENORES,2007_SALDOTOTAL_ESTUDIANTES,2007_SALDOTOTAL_TRABAJADORES,2007_SALDOTOTAL_MADUREZ1,2007_SALDOTOTAL_MADUREZ2,2007_SALDOTOTAL_JUBILADOS,2007_SALDOHOMBRES_MENORES,2007_SALDOHOMBRES_ESTUDIANTES,2007_SALDOHOMBRES_TRABAJADORES,2007_SALDOHOMBRES_MADUREZ1,2007_SALDOHOMBRES_MADUREZ2,2007_SALDOHOMBRES_JUBILADOS,2007_SALDOMUJERES_MENORES,2007_SALDOMUJERES_ESTUDIANTES,2007_SALDOMUJERES_TRABAJADORES,2007_SALDOMUJERES_MADUREZ1,2007_SALDOMUJERES_MADUREZ2,2007_SALDOMUJERES_JUBILADOS,2007_SALDOEXT_MENORES,2007_SALDOEXT_ESTUDIANTES,2007_SALDOEXT_TRABAJADORES,2007_SALDOEXT_MADUREZ1,2007_SALDOEXT_MADUREZ2,2007_SALDOEXT_JUBILADOS,2007_SALDOEXT_HOMBRES_MENORES,2007_SALDOEXT_HOMBRES_ESTUDIANTES,2007_SALDOEXT_HOMBRES_TRABAJADORES,2007_SALDOEXT_HOMBRES_MADUREZ1,2007_SALDOEXT_HOMBRES_MADUREZ2,2007_SALDOEXT_HOMBRES_JUBILADOS,2007_SALDOEXT_MUJERES_MENORES,2007_SALDOEXT_MUJERES_ESTUDIANTES,2007_SALDOEXT_MUJERES_TRABAJADORES,2007_SALDOEXT_MUJERES_MADUREZ1,2007_SALDOEXT_MUJERES_MADUREZ2,2007_SALDOEXT_MUJERES_JUBILADOS
1,1001,Alegría-Dulantzi,1329,126,55,71,21,7,14,17,7,61,26,6,0,7,2,25,12,5,0,10,5,36,14,1,0,5,5,8,2,1,0,1,3,2,0,1,0,4,2,6,2,0,0
1,1002,Amurrio,9753,131,87,44,132,78,54,25,42,34,22,2,7,14,21,21,17,6,8,11,21,13,5,-4,-1,26,36,39,24,5,2,11,20,23,18,5,1,15,16,16,6,0,1
1,1003,Aramaio,1373,-5,-5,0,0,-2,2,7,-9,3,-3,-2,0,1,-6,2,-2,0,0,6,-3,1,-1,-2,0,2,-3,1,0,0,0,1,-3,1,-1,0,0,1,0,0,1,0,0
1,1008,Arrazua-Ubarrundia,756,20,18,2,14,3,11,12,-1,0,13,-3,-1,7,1,-1,11,-2,0,5,-2,1,2,-1,-1,8,0,4,2,0,0,2,0,0,1,0,0,6,0,4,1,0,0
1,1004,Artziniega,1338,59,33,26,24,12,12,12,14,10,14,3,5,13,4,7,5,1,2,-1,10,3,9,2,3,7,6,8,3,0,0,5,2,4,1,0,0,2,4,4,2,0,0
1,1009,Asparrena,1561,22,13,9,16,6,10,3,7,18,1,0,-6,-2,1,13,0,2,-1,5,6,5,1,-2,-5,3,7,2,3,0,0,0,3,1,1,0,0,3,4,1,2,0,0
1,1010,Ayala/Aiara,2031,50,17,33,2,0,2,8,3,33,8,0,-5,6,-2,15,-1,-1,-2,2,5,18,9,1,-3,2,2,-2,1,-1,-1,2,1,-2,0,-1,-1,0,1,0,1,0,0
1,1011,Baños de Ebro/Mañueta,333,8,6,2,11,8,3,-2,3,1,5,1,0,-1,2,1,5,-1,0,-1,1,0,0,2,0,0,3,2,6,0,0,0,2,2,4,0,0,0,1,0,2,0,0
1,1013,Barrundia,590,25,16,9,14,10,4,5,1,20,-4,4,-1,4,2,10,-3,2,1,1,-1,10,-1,2,-2,3,2,6,2,1,0,2,2,3,2,1,0,1,0,3,0,0,0
1,1016,Bernedo,544,18,8,10,6,3,3,6,4,9,0,0,-2,4,1,5,1,-2,-2,2,3,4,-1,2,0,1,1,3,1,0,0,0,0,2,1,0,0,1,1,1,0,0,0
