COD_PROVINCIA,COD_PROVMUNI,MUNICIPIO,POBLACION_1999,2004_SALDOTOTAL,2004_SALDOTOTAL_HOMBRES,2004_SALDOTOTAL_MUJERES,2004_SALDOEXT_TOTAL,2004_SALDOEXT_HOMBRES,2004_SALDOEXT_MUJERES,2004_SALDOTOTAL_MENORES,2004_SALDOTOTAL_ESTUDIANTES,2004_SALDOTOTAL_TRABAJADORES,2004_SALDOTOTAL_MADUREZ1,2004_SALDOTOTAL_MADUREZ2,2004_SALDOTOTAL_JUBILADOS,2004_SALDOHOMBRES_MENORES,2004_SALDOHOMBRES_ESTUDIANTES,2004_SALDOHOMBRES_TRABAJADORES,2004_SALDOHOMBRES_MADUREZ1,2004_SALDOHOMBRES_MADUREZ2,2004_SALDOHOMBRES_JUBILADOS,2004_SALDOMUJERES_MENORES,2004_SALDOMUJERES_ESTUDIANTES,2004_SALDOMUJERES_TRABAJADORES,2004_SALDOMUJERES_MADUREZ1,2004_SALDOMUJERES_MADUREZ2,2004_SALDOMUJERES_JUBILADOS,2004_SALDOEXT_MENORES,2004_SALDOEXT_ESTUDIANTES,2004_SALDOEXT_TRABAJADORES,2004_SALDOEXT_MADUREZ1,2004_SALDOEXT_MADUREZ2,2004_SALDOEXT_JUBILADOS,2004_SALDOEXT_HOMBRES_MENORES,2004_SALDOEXT_HOMBRES_ESTUDIANTES,2004_SALDOEXT_HOMBRES_TRABAJADORES,2004_SALDOEXT_HOMBRES_MADUREZ1,2004_SALDOEXT_HOMBRES_MADUREZ2,2004_SALDOEXT_HOMBRES_JUBILADOS,2004_SALDOEXT_MUJERES_MENORES,2004_SALDOEXT_MUJERES_ESTUDIANTES,2004_SALDOEXT_MUJERES_TRABAJADORES,2004_SALDOEXT_MUJERES_MADUREZ1,2004_SALDOEXT_MUJERES_MADUREZ2,2004_SALDOEXT_MUJERES_JUBILADOS
1,1001,Alegría-Dulantzi,1329,96,51,45,11,4,7,21,5,57,11,-1,3,14,-1,30,2,1,2,7,6,27,9,-2,1,1,0,4,5,1,0,0,0,1,2,1,0,1,0,3,3,0,0
1,1002,Amurrio,9753,92,71,21,65,43,22,43,-2,6,32,2,12,26,2,10,25,2,6,17,-4,-4,7,0,6,6,17,22,15,2,2,2,11,16,11,2,0,4,6,6,4,0,2
1,1049,Añana,188,3,1,2,3,2,1,0,1,2,-2,2,0,0,0,2,-2,1,0,0,1,0,0,1,0,0,1,2,0,0,0,0,0,2,0,0,0,0,1,0,0,0,0
1,1003,Aramaio,1373,8,6,2,7,6,1,-1,3,0,2,6,-4,-3,2,6,2,1,-3,2,1,-6,0,5,-1,0,2,2,3,0,0,0,2,2,2,0,0,0,0,0,1,0,0
1,1037,Arraia-Maeztu,712,-7,-5,-2,7,2,5,-3,-4,2,5,1,-8,-4,-1,1,2,2,-5,1,-3,1,3,-1,-3,1,0,3,2,1,0,0,0,2,0,0,0,1,0,1,2,1,0
1,1011,Baños de Ebro/Mañueta,333,0,3,-3,10,7,3,-4,3,-4,4,1,0,0,1,-2,3,1,0,-4,2,-2,1,0,0,1,4,0,4,1,0,1,2,0,3,1,0,0,2,0,1,0,0
1,1013,Barrundia,590,19,10,9,2,1,1,8,2,7,6,-1,-2,7,1,2,4,-1,-2,1,1,5,2,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0
1,1017,Campezo/Kanpezu,1062,3,14,-11,12,6,6,-1,5,0,-3,7,-4,2,6,2,0,7,-3,-3,-1,-2,-3,0,-1,0,5,3,2,2,0,0,4,1,0,1,0,0,1,2,2,1,0
1,1022,Elciego,905,19,12,7,5,1,4,9,2,5,1,0,2,6,2,1,1,-1,3,3,0,4,0,1,-1,1,1,2,1,0,0,1,0,0,0,0,0,0,1,2,1,0,0
1,1046,Erriberagoitia/Ribera Alta,515,10,4,6,3,2,1,2,-1,7,4,1,-3,-1,0,4,2,0,-1,3,-1,3,2,1,-2,0,0,2,1,0,0,0,0,1,1,0,0,0,0,1,0,0,0
1,1901,Iruña Oka/Iruña de Oca,1674,125,55,70,22,8,14,29,7,76,10,-2,2,7,0,40,7,-1,-2,22,7,36,3,-1,4,5,6,7,3,0,0,1,3,3,0,0,0,4,3,4,3,0,0
1,1028,Labastida/Bastida,1195,59,41,18,17,15,2,20,11,19,14,0,-5,11,10,13,7,0,-1,9,1,6,7,0,-4,5,2,6,5,-1,0,4,3,5,4,-1,0,1,-1,1,1,0,0
1,1030,Lagrán,197,0,1,-1,3,1,2,0,-2,0,0,2,0,0,0,-1,0,2,0,0,-2,1,0,0,0,0,0,3,0,0,0,0,0,1,0,0,0,0,0,2,0,0,0
1,1031,Laguardia,1409,19,19,0,24,12,12,-1,4,15,2,2,-4,0,1,11,4,0,2,-1,3,4,-2,2,-6,2,7,12,1,1,1,1,1,8,0,1,1,1,6,4,1,0,0
1,1902,Lantarón,924,40,17,23,3,1,2,7,-1,12,15,5,3,2,1,5,6,2,2,5,-2,7,9,3,1,0,0,1,2,0,0,0,0,0,1,0,0,0,0,1,1,0,0
1,1033,Lapuebla de Labarca,872,13,4,9,7,5,2,2,3,0,4,3,0,2,-1,1,1,2,-1,0,4,-1,3,1,1,1,1,2,3,0,0,0,1,1,3,0,0,1,0,1,0,0,0
1,1036,Laudio/Llodio,19632,-115,-66,-49,68,32,36,1,9,-71,-31,-18,-2,1,6,-33,-16,-15,-6,0,3,-38,-15,-3,4,10,16,22,11,5,1,4,7,11,6,2,1,6,9,11,5,3,0
1,1058,Legutio,1333,40,15,25,12,5,7,5,3,19,11,4,-3,-1,4,10,1,3,-2,6,-1,9,10,1,-1,5,4,2,1,0,0,1,2,2,0,0,0,4,2,0,1,0,0
1,1034,Leza,196,16,10,6,8,4,4,2,1,0,7,6,0,-1,2,2,4,3,0,3,-1,-2,3,3,0,1,3,3,1,0,0,0,2,2,0,0,0,1,1,1,1,0,0
1,1043,Oyón-Oion,2286,144,74,70,23,14,9,29,28,48,28,7,7,9,9,34,15,2,6,20,19,14,13,5,1,3,5,10,2,2,1,1,2,8,1,1,1,2,3,2,1,1,0
1,1047,Ribera Baja/Erribera Beitia,493,62,30,32,11,6,5,8,9,20,16,0,10,7,3,8,7,1,5,1,6,12,9,-1,5,4,3,2,2,0,0,2,1,2,1,0,0,2,2,0,1,0,0
