COD_PROVINCIA,COD_PROVMUNI,MUNICIPIO,POBLACION_1999,2009_SALDOTOTAL,2009_SALDOTOTAL_HOMBRES,2009_SALDOTOTAL_MUJERES,2009_SALDOEXT_TOTAL,2009_SALDOEXT_HOMBRES,2009_SALDOEXT_MUJERES,2009_SALDOTOTAL_MENORES,2009_SALDOTOTAL_ESTUDIANTES,2009_SALDOTOTAL_TRABAJADORES,2009_SALDOTOTAL_MADUREZ1,2009_SALDOTOTAL_MADUREZ2,2009_SALDOTOTAL_JUBILADOS,2009_SALDOHOMBRES_MENORES,2009_SALDOHOMBRES_ESTUDIANTES,2009_SALDOHOMBRES_TRABAJADORES,2009_SALDOHOMBRES_MADUREZ1,2009_SALDOHOMBRES_MADUREZ2,2009_SALDOHOMBRES_JUBILADOS,2009_SALDOMUJERES_MENORES,2009_SALDOMUJERES_ESTUDIANTES,2009_SALDOMUJERES_TRABAJADORES,2009_SALDOMUJERES_MADUREZ1,2009_SALDOMUJERES_MADUREZ2,2009_SALDOMUJERES_JUBILADOS,2009_SALDOEXT_MENORES,2009_SALDOEXT_ESTUDIANTES,2009_SALDOEXT_TRABAJADORES,2009_SALDOEXT_MADUREZ1,2009_SALDOEXT_MADUREZ2,2009_SALDOEXT_JUBILADOS,2009_SALDOEXT_HOMBRES_MENORES,2009_SALDOEXT_HOMBRES_ESTUDIANTES,2009_SALDOEXT_HOMBRES_TRABAJADORES,2009_SALDOEXT_HOMBRES_MADUREZ1,2009_SALDOEXT_HOMBRES_MADUREZ2,2009_SALDOEXT_HOMBRES_JUBILADOS,2009_SALDOEXT_MUJERES_MENORES,2009_SALDOEXT_MUJERES_ESTUDIANTES,2009_SALDOEXT_MUJERES_TRABAJADORES,2009_SALDOEXT_MUJERES_MADUREZ1,2009_SALDOEXT_MUJERES_MADUREZ2,2009_SALDOEXT_MUJERES_JUBILADOS
1,1001,Alegría-Dulantzi,1329,74,29,45,15,8,7,16,18,19,16,1,5,5,8,5,8,0,2,11,10,14,8,1,3,3,7,3,2,-1,1,2,5,1,1,-1,0,1,2,2,1,0,1
1,1002,Amurrio,9753,-29,-21,-8,38,10,28,-3,2,-38,-1,-6,14,-4,5,-28,0,-1,5,1,-3,-10,-1,-5,9,18,10,6,1,3,0,6,7,1,-3,-1,0,12,3,5,4,4,0
1,1003,Aramaio,1373,7,8,-1,8,3,5,3,-2,17,-4,-3,-4,5,1,5,1,-3,-1,-2,-3,12,-5,0,-3,3,-1,5,1,0,0,2,0,1,0,0,0,1,-1,4,1,0,0
1,1037,Arraia-Maeztu,712,4,0,4,1,1,0,-1,7,3,2,-1,-5,0,4,1,0,-1,-4,-1,3,2,2,0,-1,1,1,-1,1,0,-1,1,0,0,0,0,0,0,1,-1,1,0,-1
1,1008,Arrazua-Ubarrundia,756,-4,1,-5,3,2,1,-4,-6,0,0,6,2,-2,-4,3,2,2,1,-2,-2,-3,-2,4,1,3,0,0,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0
1,1004,Artziniega,1338,-4,-4,0,-1,-2,1,-5,-2,1,-6,-3,9,-3,-3,-1,0,0,2,-2,1,2,-6,-3,7,1,3,-2,-3,0,0,1,1,-3,-1,0,0,0,2,1,-2,0,0
1,1009,Asparrena,1561,32,18,14,12,6,6,10,4,14,-3,7,0,3,3,6,-1,7,-2,7,1,8,-2,0,2,1,5,3,0,2,0,0,2,2,-1,2,0,1,3,1,1,0,0
1,1010,Ayala/Aiara,2031,57,36,21,2,3,-1,4,5,35,4,8,-1,3,3,19,4,4,3,1,2,16,0,4,-4,1,1,0,0,0,0,1,1,0,1,0,0,0,0,0,-1,0,0
1,1011,Baños de Ebro/Mañueta,333,-4,0,-4,-2,-1,-1,-2,1,-4,1,1,0,1,1,-3,0,1,0,-3,0,-1,1,0,0,-2,1,-2,1,0,0,-1,0,-1,1,0,0,-1,1,-1,0,0,0
1,1014,Berantevilla,422,10,7,3,6,2,4,8,3,0,-1,1,-1,7,2,0,-2,-1,1,1,1,0,1,2,-2,3,1,0,2,0,0,2,0,0,1,-1,0,1,1,0,1,1,0
