COD_PROVINCIA,COD_PROVMUNI,MUNICIPIO,POBLACION_1999,2005_SALDOTOTAL,2005_SALDOTOTAL_HOMBRES,2005_SALDOTOTAL_MUJERES,2005_SALDOEXT_TOTAL,2005_SALDOEXT_HOMBRES,2005_SALDOEXT_MUJERES,2005_SALDOTOTAL_MENORES,2005_SALDOTOTAL_ESTUDIANTES,2005_SALDOTOTAL_TRABAJADORES,2005_SALDOTOTAL_MADUREZ1,2005_SALDOTOTAL_MADUREZ2,2005_SALDOTOTAL_JUBILADOS,2005_SALDOHOMBRES_MENORES,2005_SALDOHOMBRES_ESTUDIANTES,2005_SALDOHOMBRES_TRABAJADORES,2005_SALDOHOMBRES_MADUREZ1,2005_SALDOHOMBRES_MADUREZ2,2005_SALDOHOMBRES_JUBILADOS,2005_SALDOMUJERES_MENORES,2005_SALDOMUJERES_ESTUDIANTES,2005_SALDOMUJERES_TRABAJADORES,2005_SALDOMUJERES_MADUREZ1,2005_SALDOMUJERES_MADUREZ2,2005_SALDOMUJERES_JUBILADOS,2005_SALDOEXT_MENORES,2005_SALDOEXT_ESTUDIANTES,2005_SALDOEXT_TRABAJADORES,2005_SALDOEXT_MADUREZ1,2005_SALDOEXT_MADUREZ2,2005_SALDOEXT_JUBILADOS,2005_SALDOEXT_HOMBRES_MENORES,2005_SALDOEXT_HOMBRES_ESTUDIANTES,2005_SALDOEXT_HOMBRES_TRABAJADORES,2005_SALDOEXT_HOMBRES_MADUREZ1,2005_SALDOEXT_HOMBRES_MADUREZ2,2005_SALDOEXT_HOMBRES_JUBILADOS,2005_SALDOEXT_MUJERES_MENORES,2005_SALDOEXT_MUJERES_ESTUDIANTES,2005_SALDOEXT_MUJERES_TRABAJADORES,2005_SALDOEXT_MUJERES_MADUREZ1,2005_SALDOEXT_MUJERES_MADUREZ2,2005_SALDOEXT_MUJERES_JUBILADOS
1,1001,Alegría-Dulantzi,1329,101,77,24,8,7,1,-1,-4,72,22,10,1,4,2,45,18,5,2,-5,-6,27,4,5,-1,0,1,4,3,0,0,0,1,4,2,0,0,0,0,0,1,0,0
1,1002,Amurrio,9753,78,43,35,61,34,27,20,5,39,17,-1,-5,7,3,20,10,2,0,13,2,19,7,-3,-5,12,12,22,15,1,-1,5,5,12,12,0,0,7,7,10,3,1,-1
1,1003,Aramaio,1373,-9,-3,-6,19,17,2,0,-1,-12,8,-5,1,-1,-1,-6,4,-1,1,1,0,-6,4,-4,0,3,5,8,3,0,0,2,4,8,3,0,0,1,1,0,0,0,0
1,1037,Arraia-Maeztu,712,-1,-6,5,0,0,0,-1,4,3,1,-2,-7,1,-1,0,-1,-2,-3,-2,5,3,2,0,-4,0,-1,1,-1,0,0,1,-1,0,0,0,0,-1,0,1,-1,0,0
1,1008,Arrazua-Ubarrundia,756,39,15,24,5,2,3,16,2,4,7,13,-3,6,2,-2,3,7,-1,10,0,6,4,6,-2,0,1,3,1,0,0,0,0,1,1,0,0,0,1,2,0,0,0
1,1004,Artziniega,1338,131,66,65,8,5,3,18,17,60,13,10,10,13,4,32,5,5,6,5,13,28,8,5,4,1,3,2,1,0,0,1,1,1,0,1,0,0,2,1,1,-1,0
1,1009,Asparrena,1561,-4,5,-9,7,3,4,-1,-2,8,-8,-4,1,1,1,5,-1,-1,0,-2,-3,3,-7,-3,1,1,3,2,0,0,0,1,1,1,0,0,0,0,2,1,0,0,0
1,1010,Ayala/Aiara,2031,62,29,33,12,6,6,15,7,25,13,4,1,3,5,13,5,3,1,12,2,12,8,1,0,0,3,5,2,2,0,0,1,2,2,1,0,0,2,3,0,1,0
1,1011,Baños de Ebro/Mañueta,333,25,22,3,21,19,2,-1,2,15,5,3,0,-2,1,14,4,3,0,1,1,1,1,0,0,0,2,10,5,2,0,0,1,9,5,2,0,0,1,1,0,0,0
1,1013,Barrundia,590,15,11,4,7,3,4,7,4,-3,3,3,-2,4,1,-1,4,2,-1,3,3,-2,-1,1,-1,1,5,0,0,0,0,0,3,0,0,0,0,1,2,0,0,0,0
