COD_PROVINCIA,COD_PROVMUNI,MUNICIPIO,POBLACION_1999,2017_SALDOTOTAL,2017_SALDOTOTAL_HOMBRES,2017_SALDOTOTAL_MUJERES,2017_SALDOEXT_TOTAL,2017_SALDOEXT_HOMBRES,2017_SALDOEXT_MUJERES,2017_SALDOTOTAL_MENORES,2017_SALDOTOTAL_ESTUDIANTES,2017_SALDOTOTAL_TRABAJADORES,2017_SALDOTOTAL_MADUREZ1,2017_SALDOTOTAL_MADUREZ2,2017_SALDOTOTAL_JUBILADOS,2017_SALDOHOMBRES_MENORES,2017_SALDOHOMBRES_ESTUDIANTES,2017_SALDOHOMBRES_TRABAJADORES,2017_SALDOHOMBRES_MADUREZ1,2017_SALDOHOMBRES_MADUREZ2,2017_SALDOHOMBRES_JUBILADOS,2017_SALDOMUJERES_MENORES,2017_SALDOMUJERES_ESTUDIANTES,2017_SALDOMUJERES_TRABAJADORES,2017_SALDOMUJERES_MADUREZ1,2017_SALDOMUJERES_MADUREZ2,2017_SALDOMUJERES_JUBILADOS,2017_SALDOEXT_MENORES,2017_SALDOEXT_ESTUDIANTES,2017_SALDOEXT_TRABAJADORES,2017_SALDOEXT_MADUREZ1,2017_SALDOEXT_MADUREZ2,2017_SALDOEXT_JUBILADOS,2017_SALDOEXT_HOMBRES_MENORES,2017_SALDOEXT_HOMBRES_ESTUDIANTES,2017_SALDOEXT_HOMBRES_TRABAJADORES,2017_SALDOEXT_HOMBRES_MADUREZ1,2017_SALDOEXT_HOMBRES_MADUREZ2,2017_SALDOEXT_HOMBRES_JUBILADOS,2017_SALDOEXT_MUJERES_MENORES,2017_SALDOEXT_MUJERES_ESTUDIANTES,2017_SALDOEXT_MUJERES_TRABAJADORES,2017_SALDOEXT_MUJERES_MADUREZ1,2017_SALDOEXT_MUJERES_MADUREZ2,2017_SALDOEXT_MUJERES_JUBILADOS
1,1001,Alegría-Dulantzi,1329,-31,-5,-26,5,1,4,-10,5,13,-37,-4,2,-4,5,9,-21,2,4,-6,0,4,-16,-6,-2,1,4,-1,-1,1,0,-1,4,0,-2,0,0,2,0,-1,1,1,0
1,1002,Amurrio,9753,10,-6,16,38,13,25,25,6,-19,14,-15,0,15,0,-11,12,-11,-7,10,6,-8,2,-4,7,16,10,3,5,-1,4,6,4,-2,4,0,1,10,6,5,1,-1,3
1,1049,Añana,188,-3,-1,-2,3,2,1,0,1,-2,0,0,-2,0,1,-1,0,0,-1,0,0,-1,0,0,-1,0,1,1,0,0,1,0,1,1,0,0,0,0,0,0,0,0,1
1,1003,Aramaio,1373,-17,-18,1,-2,-2,0,-4,-1,-7,-2,-5,2,-3,0,-10,0,-4,-1,-1,-1,3,-2,-1,3,1,0,0,-3,0,0,1,0,-1,-2,0,0,0,0,1,-1,0,0
1,1037,Arraia-Maeztu,712,-6,-1,-5,-9,-3,-6,1,-1,-1,1,-3,-3,0,0,2,-1,-2,0,1,-1,-3,2,-1,-3,-1,-2,-2,-2,-2,0,1,0,-1,-2,-1,0,-2,-2,-1,0,-1,0
1,1008,Arrazua-Ubarrundia,756,6,6,0,3,4,-1,3,4,-4,6,-1,-2,3,2,1,1,1,-2,0,2,-5,5,-2,0,0,3,-1,0,1,0,0,3,0,0,1,0,0,0,-1,0,0,0
1,1004,Artziniega,1338,9,2,7,8,2,6,11,1,-2,-4,0,4,3,1,0,-3,2,-1,8,0,-2,-1,-2,5,2,2,2,2,0,0,0,0,1,1,0,0,2,2,1,1,0,0
1,1009,Asparrena,1561,3,6,-3,6,3,3,1,5,3,-3,3,-3,-1,2,5,1,1,-1,2,3,-2,-4,2,-2,1,1,4,1,-1,0,1,0,2,1,-1,0,0,1,2,0,0,0
1,1010,Ayala/Aiara,2031,-3,-6,3,2,-1,3,-2,0,8,-6,-8,4,-6,0,3,-3,-3,2,4,0,5,-3,-5,2,0,2,1,0,-1,0,0,-1,1,-1,0,0,0,3,0,1,-1,0
1,1011,Baños de Ebro/Mañueta,333,-9,-1,-8,2,1,1,0,-2,-1,-4,0,-3,0,1,0,-2,-1,0,0,-3,-1,-2,1,-3,2,1,1,-2,-1,0,1,1,0,-1,-1,0,1,0,1,-1,0,0
1,1013,Barrundia,590,-8,-2,-6,1,2,-1,0,-2,8,-3,-3,-8,-1,-1,4,1,-2,-3,1,-1,4,-4,-1,-5,1,-2,2,1,0,-1,1,-1,2,0,0,0,0,-1,0,1,0,-1
1,1017,Campezo/Kanpezu,1062,-6,-4,-2,7,6,1,-1,-1,6,-9,2,-5,-3,1,5,-6,0,-3,2,-2,1,-3,2,-2,3,1,2,1,1,-1,3,1,2,1,0,-1,0,0,0,0,1,0
1,1021,Elburgo/Burgelu,269,-5,-3,-2,-2,0,-2,0,-3,2,-1,-7,2,1,-3,2,-1,-4,1,-1,0,0,0,-3,1,0,0,1,-1,-2,0,0,0,1,0,-1,0,0,0,0,-1,-1,0
1,1022,Elciego,905,-11,-4,-7,5,2,3,-5,0,-2,-4,2,-2,-1,0,-2,-2,2,-1,-4,0,0,-2,0,-1,-1,1,1,2,2,0,-1,0,1,1,1,0,0,1,0,1,1,0
1,1023,Elvillar/Bilar,356,-7,-3,-4,3,2,1,-2,-1,0,-4,0,0,-1,0,0,-2,0,0,-1,-1,0,-2,0,0,0,2,1,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0
1,1901,Iruña Oka/Iruña de Oca,1674,59,23,36,10,3,7,20,-2,45,7,-3,-10,6,-1,24,-2,-2,-2,14,-1,21,9,-1,-8,2,0,9,0,-1,0,2,-1,6,-2,-1,-1,0,1,3,2,0,1
1,1020,Kuartango,372,8,6,2,2,1,1,0,2,2,-3,4,2,0,0,1,2,2,1,0,2,1,-5,2,1,0,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0,1,0
1,1028,Labastida/Bastida,1195,-6,-1,-5,7,5,2,-8,-1,5,8,-4,-4,-6,-2,8,5,-4,0,-2,1,-3,3,0,-4,1,0,3,3,0,0,1,0,2,2,0,0,0,0,1,1,0,0
1,1031,Laguardia,1409,25,14,11,5,4,1,8,9,3,3,8,-5,5,2,3,3,2,-1,3,7,0,0,6,-4,0,1,2,1,1,0,0,1,1,1,1,0,0,0,1,0,0,0
1,1032,Lanciego/Lantziego,642,5,3,2,3,0,3,1,1,4,-1,1,-3,0,0,3,0,0,-1,1,1,1,-1,1,-2,0,1,-1,2,1,0,0,0,-1,1,0,0,0,1,0,1,1,0
