COD_PROVINCIA,COD_PROVMUNI,MUNICIPIO,POBLACION_1999,2014_SALDOTOTAL,2014_SALDOTOTAL_HOMBRES,2014_SALDOTOTAL_MUJERES,2014_SALDOEXT_TOTAL,2014_SALDOEXT_HOMBRES,2014_SALDOEXT_MUJERES,2014_SALDOTOTAL_MENORES,2014_SALDOTOTAL_ESTUDIANTES,2014_SALDOTOTAL_TRABAJADORES,2014_SALDOTOTAL_MADUREZ1,2014_SALDOTOTAL_MADUREZ2,2014_SALDOTOTAL_JUBILADOS,2014_SALDOHOMBRES_MENORES,2014_SALDOHOMBRES_ESTUDIANTES,2014_SALDOHOMBRES_TRABAJADORES,2014_SALDOHOMBRES_MADUREZ1,2014_SALDOHOMBRES_MADUREZ2,2014_SALDOHOMBRES_JUBILADOS,2014_SALDOMUJERES_MENORES,2014_SALDOMUJERES_ESTUDIANTES,2014_SALDOMUJERES_TRABAJADORES,2014_SALDOMUJERES_MADUREZ1,2014_SALDOMUJERES_MADUREZ2,2014_SALDOMUJERES_JUBILADOS,2014_SALDOEXT_MENORES,2014_SALDOEXT_ESTUDIANTES,2014_SALDOEXT_TRABAJADORES,2014_SALDOEXT_MADUREZ1,2014_SALDOEXT_MADUREZ2,2014_SALDOEXT_JUBILADOS,2014_SALDOEXT_HOMBRES_MENORES,2014_SALDOEXT_HOMBRES_ESTUDIANTES,2014_SALDOEXT_HOMBRES_TRABAJADORES,2014_SALDOEXT_HOMBRES_MADUREZ1,2014_SALDOEXT_HOMBRES_MADUREZ2,2014_SALDOEXT_HOMBRES_JUBILADOS,2014_SALDOEXT_MUJERES_MENORES,2014_SALDOEXT_MUJERES_ESTUDIANTES,2014_SALDOEXT_MUJERES_TRABAJADORES,2014_SALDOEXT_MUJERES_MADUREZ1,2014_SALDOEXT_MUJERES_MADUREZ2,2014_SALDOEXT_MUJERES_JUBILADOS
1,1001,Alegría-Dulantzi,1329,-64,-32,-32,-3,1,-4,-8,-7,-18,-25,-9,5,-1,-3,-13,-13,-3,3,-7,-4,-5,-12,-6,2,1,-2,-5,3,-1,1,0,1,-2,3,-1,0,1,-3,-3,0,0,1
1,1002,Amurrio,9753,24,-3,27,-20,-18,-2,18,-20,20,-3,0,1,13,-10,7,-9,-5,-2,5,-10,13,6,5,3,-3,-2,4,-11,-6,-3,0,-4,2,-10,-5,-1,-3,2,2,-1,-1,-2
1,1049,Añana,188,-5,-3,-2,-2,-1,-1,-1,-2,-1,-2,1,0,0,-1,0,-3,1,0,-1,-1,-1,1,0,0,0,-1,-1,0,0,0,0,-1,0,0,0,0,0,0,-1,0,0,0
1,1003,Aramaio,1373,9,8,1,2,1,1,4,-3,7,3,-2,-1,2,-1,6,2,-1,0,2,-2,1,1,-1,-1,0,0,0,2,0,0,0,0,-1,2,0,0,0,0,1,0,0,0
1,1037,Arraia-Maeztu,712,-6,-7,1,0,0,0,1,1,4,-8,-2,-4,-2,0,3,-4,-2,-3,3,1,1,-4,0,-1,1,1,0,-2,0,0,1,0,0,-1,0,0,0,1,0,-1,0,0
1,1008,Arrazua-Ubarrundia,756,4,11,-7,5,2,3,5,-3,-3,6,-4,2,5,0,-2,5,0,3,0,-3,-1,1,-4,-1,2,1,-1,2,1,0,1,1,-1,1,0,0,1,0,0,1,1,0
1,1004,Artziniega,1338,3,-5,8,2,2,0,6,2,0,-1,2,-8,3,-2,1,0,-1,-6,3,4,-1,-1,3,-2,1,1,0,0,0,0,1,0,0,1,0,0,0,1,0,-1,0,0
1,1009,Asparrena,1561,-12,-7,-5,5,2,3,-2,6,2,-4,-7,-9,-2,3,3,-1,-5,-6,0,3,-1,-3,-2,-3,1,1,1,3,-1,0,0,0,0,2,0,0,1,1,1,1,-1,0
1,1010,Ayala/Aiara,2031,-6,12,-18,2,1,1,0,-4,5,-9,4,-1,3,-1,6,-1,4,1,-3,-3,-1,-8,0,-2,0,-1,2,1,0,0,0,-1,1,1,0,0,0,0,1,0,0,0
1,1011,Baños de Ebro/Mañueta,333,-9,-7,-2,-13,-8,-5,-1,0,-3,-2,-2,-1,-1,-1,-4,0,-1,0,0,1,1,-2,-1,-1,-1,-1,-3,-4,-4,0,-1,-1,-2,-2,-2,0,0,0,-1,-2,-2,0
