COD_PROVINCIA,COD_PROVMUNI,MUNICIPIO,POBLACION_1999,2001_SALDO_TOTAL,2001_SALDO_HOMBRES,2001_SALDO_MUJERES,2001_SALDOEXT_TOTAL,2001_SALDOEXT_HOMBRES,2001_SALDOEXT_MUJERES,2001_SALDOTOTAL_MENORES,2001_SALDOTOTAL_ESTUDIANTES,2001_SALDOTOTAL_TRABAJADORES,2001_SALDOTOTAL_MADUREZ1,2001_SALDOTOTAL_MADUREZ2,2001_SALDOTOTAL_JUBILADOS,2001_SALDOHOMBRES_MENORES,2001_SALDOHOMBRES_ESTUDIANTES,2001_SALDOHOMBRES_TRABAJADORES,2001_SALDOHOMBRES_MADUREZ1,2001_SALDOHOMBRES_MADUREZ2,2001_SALDOHOMBRES_JUBILADOS,2001_SALDOMUJERES_MENORES,2001_SALDOMUJERES_ESTUDIANTES,2001_SALDOMUJERES_TRABAJADORES,2001_SALDOMUJERES_MADUREZ1,2001_SALDOMUJERES_MADUREZ2,2001_SALDOMUJERES_JUBILADOS,2001_SALDOEXT_MENORES,2001_SALDOEXT_ESTUDIANTES,2001_SALDOEXT_TRABAJADORES,2001_SALDOEXT_MADUREZ1,2001_SALDOEXT_MADUREZ2,2001_SALDOEXT_JUBILADOS,2001_SALDOEXT_HOMBRES_MENORES,2001_SALDOEXT_HOMBRES_ESTUDIANTES,2001_SALDOEXT_HOMBRES_TRABAJADORES,2001_SALDOEXT_HOMBRES_MADUREZ1,2001_SALDOEXT_HOMBRES_MADUREZ2,2001_SALDOEXT_HOMBRES_JUBILADOS,2001_SALDOEXT_MUJERES_MENORES,2001_SALDOEXT_MUJERES_ESTUDIANTES,2001_SALDOEXT_MUJERES_TRABAJADORES,2001_SALDOEXT_MUJERES_MADUREZ1,2001_SALDOEXT_MUJERES_MADUREZ2,2001_SALDOEXT_MUJERES_JUBILADOS
46,46053,Beneixida,647,0,0,0,5,2,3,-2,0,2,4,-2,-2,-2,0,0,3,0,-1,0,0,2,1,-2,-1,1,2,2,0,0,0,0,1,1,0,0,0,1,1,1,0,0,0
46,46054,Benetússer,13659,43,38,5,7,3,4,12,-19,34,16,-6,7,13,-13,22,16,-3,3,-1,-6,12,0,-3,4,1,1,1,0,1,2,0,0,0,0,1,1,1,1,1,0,0,1
46,46055,Beniarjó,1179,30,14,16,16,6,10,10,5,14,-1,2,0,6,2,5,1,1,-1,4,3,9,-2,1,1,3,2,8,1,2,0,0,2,2,1,1,0,3,0,6,0,1,0
46,46057,Benicolet,478,14,7,7,21,11,10,1,3,-3,4,8,1,1,1,-1,1,4,1,0,2,-2,3,4,0,2,3,3,5,8,0,2,1,2,2,4,0,0,2,1,3,4,0
46,46060,Benifaió,12054,134,85,49,142,92,50,7,38,65,12,5,4,0,31,44,6,3,0,7,7,21,6,2,4,16,36,65,15,6,3,5,27,46,8,3,2,11,9,19,7,3,1
46,46059,Benifairó de la Valldigna,1643,21,13,8,13,5,8,0,3,8,10,0,0,3,1,4,5,0,0,-3,2,4,5,0,0,2,3,6,2,0,0,1,0,3,1,0,0,1,3,3,1,0,0
46,46058,Benifairó de les Valls,1966,-18,-9,-9,3,2,1,-6,-4,-7,-2,0,1,-2,-3,-5,-1,1,1,-4,-1,-2,-1,-1,0,1,0,0,1,1,0,1,0,0,0,1,0,0,0,0,1,0,0
46,46062,Benigánim,5451,18,8,10,12,3,9,6,0,7,2,2,2,0,1,2,4,2,-1,6,-1,5,-2,0,3,3,3,4,2,0,0,0,1,1,1,0,0,3,2,3,1,0,0
46,46063,Benimodo,1770,5,0,5,3,2,1,-5,1,1,8,0,-1,-3,1,-1,5,0,-2,-2,0,2,3,0,1,0,1,0,2,0,0,0,1,0,1,0,0,0,0,0,1,0,0
46,46067,Benisanó,1739,33,16,17,30,15,15,5,2,9,8,2,7,6,-1,3,4,1,3,-1,3,6,4,1,4,10,5,7,8,0,0,7,2,2,4,0,0,3,3,5,4,0,0
46,46069,Benisuera,190,2,1,1,2,1,1,0,0,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0,1
46,46070,Bétera,12916,423,232,191,132,65,67,80,66,148,96,23,2,38,33,81,53,18,3,42,33,67,43,5,-1,36,27,33,23,4,4,16,15,15,10,4,2,20,12,18,13,0,2
46,46071,Bicorp,682,-2,2,-4,3,1,2,-2,1,-1,-3,0,3,0,1,1,-1,0,1,-2,0,-2,-2,0,2,0,1,1,1,0,0,0,0,1,0,0,0,0,1,0,1,0,0
46,46072,Bocairent,4545,48,20,28,23,13,10,4,15,13,8,3,5,2,4,1,8,4,1,2,11,12,0,-1,4,2,10,6,4,1,0,1,5,3,3,1,0,1,5,3,1,0,0
46,46073,Bolbaite,1412,5,3,2,25,19,6,1,5,-6,6,2,-3,1,7,-7,4,0,-2,0,-2,1,2,2,-1,1,14,7,3,0,0,1,11,5,2,0,0,0,3,2,1,0,0
46,46074,Bonrepòs i Mirambell,2299,5,7,-2,15,4,11,6,2,-9,4,3,-3,5,2,-7,5,1,-1,1,0,-2,-1,2,-2,4,1,3,3,3,0,2,0,0,2,0,0,2,1,3,1,3,0
46,46076,Bugarra,837,12,8,4,12,9,3,0,6,4,0,0,3,0,5,4,-1,-2,2,0,1,0,1,2,1,0,3,9,0,0,0,0,3,6,0,0,0,0,0,3,0,0,0
46,46077,Buñol,9358,52,29,23,46,24,22,11,13,-2,4,2,22,10,12,-8,3,2,9,1,1,6,1,0,13,10,9,17,7,3,0,6,5,7,4,2,0,4,4,10,3,1,0
46,46078,Burjassot,34869,386,182,204,388,209,179,4,138,157,63,-12,22,-6,72,103,25,-12,0,10,66,54,38,0,22,53,101,139,70,14,5,28,50,79,42,6,2,25,51,60,28,8,3
46,46081,Canals,12937,-164,-73,-91,26,20,6,-25,-53,-49,-27,-7,-3,-9,-22,-21,-16,-4,-1,-16,-31,-28,-11,-3,-2,0,9,8,8,1,0,0,6,8,5,1,0,0,3,0,3,0,0
46,46082,Canet d'En Berenguer,2216,103,61,42,6,2,4,6,12,19,37,24,5,5,6,13,19,17,1,1,6,6,18,7,4,2,2,2,0,0,0,0,1,1,0,0,0,2,1,1,0,0,0
46,46083,Carcaixent,20487,178,134,44,201,148,53,35,61,58,28,3,-7,14,53,50,22,6,-9,21,8,8,6,-3,2,19,67,81,24,8,1,11,48,63,21,5,0,8,19,18,3,3,1
46,46084,Càrcer,2069,-17,-9,-8,2,1,1,-1,-6,-7,-1,0,-3,-2,-3,-2,-1,-1,-1,1,-3,-5,0,1,-2,0,1,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0
46,46085,Carlet,14041,369,208,161,152,82,70,21,32,46,35,40,196,13,27,31,24,26,87,8,5,15,11,14,109,25,31,58,29,7,1,12,16,35,17,2,0,13,15,23,12,5,1
46,46088,Casas Bajas,292,2,-1,3,4,2,2,1,-2,2,2,0,-1,1,-2,1,0,0,-1,0,0,1,2,0,0,1,0,1,0,0,2,1,0,0,0,0,1,0,0,1,0,0,1
46,46089,Casinos,2397,6,1,5,6,3,3,0,4,3,4,-3,-1,-1,1,4,-1,0,-1,1,3,-1,5,-3,0,0,4,1,1,0,0,0,2,1,0,0,0,0,2,0,1,0,0
46,46093,Catadau,2301,37,24,13,6,3,3,10,6,13,9,-1,0,5,3,9,7,0,0,5,3,4,2,-1,0,1,0,2,2,1,0,1,0,1,1,0,0,0,0,1,1,1,0
46,46094,Catarroja,20692,499,248,251,127,74,53,50,147,201,57,24,18,10,61,146,16,10,4,40,86,55,41,14,14,21,34,45,25,1,0,12,18,30,14,0,0,9,16,15,11,1,0
46,46095,Caudete de las Fuentes,808,13,9,4,6,4,2,-1,3,4,1,0,6,-1,1,5,0,1,3,0,2,-1,1,-1,3,0,3,3,0,0,0,0,2,2,0,0,0,0,1,1,0,0,0
46,46107,Chella,2528,61,31,30,33,20,13,8,20,16,8,5,1,6,10,9,3,1,0,2,10,7,5,4,1,0,15,10,7,1,0,0,10,6,3,1,0,0,5,4,4,0,0
46,46106,Chelva,2105,-24,-14,-10,3,2,1,0,-3,-10,-7,4,-8,0,0,-7,-5,1,-3,0,-3,-3,-2,3,-5,0,0,1,0,1,1,0,0,1,0,0,1,0,0,0,0,1,0
46,46108,Chera,566,8,4,4,9,6,3,3,3,4,-3,0,1,3,2,1,-3,1,0,0,1,3,0,-1,1,3,1,5,0,0,0,3,1,2,0,0,0,0,0,3,0,0,0
46,46109,Cheste,6906,84,58,26,74,51,23,1,30,31,22,0,-2,1,21,20,16,-1,0,0,9,11,6,1,-2,4,26,24,15,3,1,2,17,19,9,3,1,2,9,5,6,0,0
46,46111,Chiva,9327,360,204,156,163,90,73,32,57,107,70,34,56,17,38,62,44,23,18,15,19,45,26,11,38,36,39,63,19,5,0,22,22,33,9,3,0,14,17,30,10,2,0
46,46112,Chulilla,765,8,3,5,11,6,5,3,5,-1,1,5,-5,0,0,-1,-1,5,0,3,5,0,2,0,-5,1,6,2,2,0,0,1,3,1,1,0,0,0,3,1,1,0,0
46,46098,Corbera,3078,0,5,-5,10,7,3,-3,8,-6,-3,4,0,-1,8,-3,-2,4,-1,-2,0,-3,-1,0,1,1,4,2,3,0,0,1,4,1,1,0,0,0,0,1,2,0,0
46,46099,Cortes de Pallás,740,54,22,32,2,1,1,6,8,0,14,20,6,1,9,-2,6,5,3,5,-1,2,8,15,3,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0,1,0,0
46,46100,Cotes,359,16,7,9,12,7,5,4,0,7,0,3,2,0,2,4,-1,1,1,4,-2,3,1,2,1,2,3,4,1,2,0,0,3,3,0,1,0,2,0,1,1,1,0
46,46105,Cullera,20459,-119,-70,-49,162,92,70,3,-44,-24,-35,-7,-13,-12,-19,-9,-20,-6,-4,15,-25,-15,-15,-1,-9,36,31,58,25,10,2,18,17,38,14,4,1,18,14,20,11,6,1
46,46113,Daimús,1544,27,19,8,19,9,10,-2,1,12,10,6,0,1,0,6,7,4,1,-3,1,6,3,2,-1,5,1,6,5,1,1,3,0,2,2,1,1,2,1,4,3,0,0
46,46116,"Eliana, l'",12652,312,153,159,144,78,66,95,15,92,87,1,14,51,2,43,43,-1,6,44,13,49,44,2,8,42,20,34,42,4,0,21,11,17,25,3,0,21,9,17,17,1,0
46,46118,Enguera,4695,400,284,116,461,327,134,36,122,148,85,7,3,19,92,105,63,6,0,17,30,43,22,1,3,39,122,183,99,16,1,24,91,128,73,11,0,15,31,55,26,5,1
