COD_PROVINCIA,COD_PROVMUNI,MUNICIPIO,POBLACION_1999,2006_SALDOTOTAL,2006_SALDOTOTAL_HOMBRES,2006_SALDOTOTAL_MUJERES,2006_SALDOEXT_TOTAL,2006_SALDOEXT_HOMBRES,2006_SALDOEXT_MUJERES,2006_SALDOTOTAL_MENORES,2006_SALDOTOTAL_ESTUDIANTES,2006_SALDOTOTAL_TRABAJADORES,2006_SALDOTOTAL_MADUREZ1,2006_SALDOTOTAL_MADUREZ2,2006_SALDOTOTAL_JUBILADOS,2006_SALDOHOMBRES_MENORES,2006_SALDOHOMBRES_ESTUDIANTES,2006_SALDOHOMBRES_TRABAJADORES,2006_SALDOHOMBRES_MADUREZ1,2006_SALDOHOMBRES_MADUREZ2,2006_SALDOHOMBRES_JUBILADOS,2006_SALDOMUJERES_MENORES,2006_SALDOMUJERES_ESTUDIANTES,2006_SALDOMUJERES_TRABAJADORES,2006_SALDOMUJERES_MADUREZ1,2006_SALDOMUJERES_MADUREZ2,2006_SALDOMUJERES_JUBILADOS,2006_SALDOEXT_MENORES,2006_SALDOEXT_ESTUDIANTES,2006_SALDOEXT_TRABAJADORES,2006_SALDOEXT_MADUREZ1,2006_SALDOEXT_MADUREZ2,2006_SALDOEXT_JUBILADOS,2006_SALDOEXT_HOMBRES_MENORES,2006_SALDOEXT_HOMBRES_ESTUDIANTES,2006_SALDOEXT_HOMBRES_TRABAJADORES,2006_SALDOEXT_HOMBRES_MADUREZ1,2006_SALDOEXT_HOMBRES_MADUREZ2,2006_SALDOEXT_HOMBRES_JUBILADOS,2006_SALDOEXT_MUJERES_MENORES,2006_SALDOEXT_MUJERES_ESTUDIANTES,2006_SALDOEXT_MUJERES_TRABAJADORES,2006_SALDOEXT_MUJERES_MADUREZ1,2006_SALDOEXT_MUJERES_MADUREZ2,2006_SALDOEXT_MUJERES_JUBILADOS
1,1001,Alegría-Dulantzi,1329,91,57,34,19,7,12,9,11,42,11,13,2,6,7,26,11,3,1,3,4,16,0,10,1,7,5,2,1,3,0,4,3,0,-1,1,0,3,2,2,2,2,0
1,1002,Amurrio,9753,259,130,129,103,58,45,53,37,103,43,4,9,33,13,52,22,2,4,20,24,51,21,2,5,23,20,29,27,3,1,15,10,16,16,1,0,8,10,13,11,2,1
1,1003,Aramaio,1373,0,-2,2,8,4,4,3,-6,7,1,-2,-3,3,-6,5,-1,-1,-2,0,0,2,2,-1,-1,1,3,2,-1,3,0,1,2,0,0,1,0,0,1,2,-1,2,0
1,1008,Arrazua-Ubarrundia,756,24,4,20,-1,-2,1,15,-5,-2,20,-3,0,5,-5,0,6,-1,0,10,0,-2,14,-2,0,1,-1,-2,3,-2,0,1,-1,-2,1,-1,0,0,0,0,2,-1,0
1,1004,Artziniega,1338,75,45,30,6,2,4,4,8,41,13,2,8,4,2,20,10,5,4,0,6,21,3,-3,4,3,2,1,0,0,0,2,0,0,0,0,0,1,2,1,0,0,0
1,1009,Asparrena,1561,-1,4,-5,12,7,5,2,-2,-3,6,1,-3,1,5,-3,3,1,-2,1,-7,0,3,0,-1,1,2,3,6,0,0,1,1,2,3,0,0,0,1,1,3,0,0
1,1010,Ayala/Aiara,2031,-28,-13,-15,4,4,0,-5,-5,-1,-10,-8,3,-2,0,-2,-3,-6,1,-3,-5,1,-7,-2,2,2,0,2,-1,1,0,2,2,0,-1,1,0,0,-2,2,0,0,0
1,1011,Baños de Ebro/Mañueta,333,-7,-10,3,-3,-7,4,1,-5,-6,2,-1,2,0,-4,-6,-1,0,1,1,-1,0,3,-1,1,2,-1,-3,-1,0,0,1,-2,-3,-3,0,0,1,1,0,2,0,0
1,1013,Barrundia,590,24,22,2,3,2,1,3,-3,3,14,6,0,5,1,4,9,3,0,-2,-4,-1,5,3,0,0,-2,1,2,2,0,0,-1,0,2,1,0,0,-1,1,0,1,0
1,1016,Bernedo,544,18,8,10,7,3,4,1,3,1,0,3,10,-1,1,1,-1,3,5,2,2,0,1,0,5,2,3,2,0,0,0,0,2,1,0,0,0,2,1,1,0,0,0
