COD_PROVINCIA,COD_PROVMUNI,MUNICIPIO,POBLACION_1999,2010_SALDOTOTAL,2010_SALDOTOTAL_HOMBRES,2010_SALDOTOTAL_MUJERES,2010_SALDOEXT_TOTAL,2010_SALDOEXT_HOMBRES,2010_SALDOEXT_MUJERES,2010_SALDOTOTAL_MENORES,2010_SALDOTOTAL_ESTUDIANTES,2010_SALDOTOTAL_TRABAJADORES,2010_SALDOTOTAL_MADUREZ1,2010_SALDOTOTAL_MADUREZ2,2010_SALDOTOTAL_JUBILADOS,2010_SALDOHOMBRES_MENORES,2010_SALDOHOMBRES_ESTUDIANTES,2010_SALDOHOMBRES_TRABAJADORES,2010_SALDOHOMBRES_MADUREZ1,2010_SALDOHOMBRES_MADUREZ2,2010_SALDOHOMBRES_JUBILADOS,2010_SALDOMUJERES_MENORES,2010_SALDOMUJERES_ESTUDIANTES,2010_SALDOMUJERES_TRABAJADORES,2010_SALDOMUJERES_MADUREZ1,2010_SALDOMUJERES_MADUREZ2,2010_SALDOMUJERES_JUBILADOS,2010_SALDOEXT_MENORES,2010_SALDOEXT_ESTUDIANTES,2010_SALDOEXT_TRABAJADORES,2010_SALDOEXT_MADUREZ1,2010_SALDOEXT_MADUREZ2,2010_SALDOEXT_JUBILADOS,2010_SALDOEXT_HOMBRES_MENORES,2010_SALDOEXT_HOMBRES_ESTUDIANTES,2010_SALDOEXT_HOMBRES_TRABAJADORES,2010_SALDOEXT_HOMBRES_MADUREZ1,2010_SALDOEXT_HOMBRES_MADUREZ2,2010_SALDOEXT_HOMBRES_JUBILADOS,2010_SALDOEXT_MUJERES_MENORES,2010_SALDOEXT_MUJERES_ESTUDIANTES,2010_SALDOEXT_MUJERES_TRABAJADORES,2010_SALDOEXT_MUJERES_MADUREZ1,2010_SALDOEXT_MUJERES_MADUREZ2,2010_SALDOEXT_MUJERES_JUBILADOS
1,1001,Alegría-Dulantzi,1329,55,53,2,8,7,1,-1,5,48,1,-2,-1,8,2,29,14,-1,-2,-9,3,19,-13,-1,1,3,2,2,1,0,0,4,1,1,1,0,0,-1,1,1,0,0,0
1,1002,Amurrio,9753,-36,-19,-17,-7,-12,5,10,-14,-36,2,-2,3,5,1,-17,-9,1,0,5,-15,-19,11,-3,3,8,3,-6,-7,-5,-1,6,1,-5,-12,-3,1,2,2,-1,5,-2,-2
1,1003,Aramaio,1373,-14,-11,-3,0,-1,1,2,-5,-3,-2,-5,-1,-1,-1,-4,-1,-3,-1,3,-4,1,-1,-2,0,2,0,0,-1,0,-1,1,0,0,-1,0,-1,1,0,0,0,0,0
1,1037,Arraia-Maeztu,712,10,3,7,-4,-1,-3,4,-3,5,8,-5,1,2,1,2,1,-3,0,2,-4,3,7,-2,1,0,-2,-1,0,-1,0,0,0,-1,0,0,0,0,-2,0,0,-1,0
1,1004,Artziniega,1338,18,4,14,9,2,7,-1,-2,10,-5,6,10,-3,-5,10,-5,2,4,2,3,0,0,4,6,0,1,1,5,2,0,-1,-1,1,3,0,0,1,2,0,2,2,0
1,1009,Asparrena,1561,8,11,-3,-1,-4,3,-2,6,0,6,0,0,-2,5,2,4,-1,3,0,1,-2,2,1,-3,-1,5,-2,-3,0,0,-1,2,-2,-3,0,0,0,3,0,0,0,0
1,1010,Ayala/Aiara,2031,40,4,36,3,-1,4,8,7,14,4,7,2,3,3,-2,-3,2,1,5,4,16,7,5,1,1,0,0,2,0,0,0,0,0,-1,0,0,1,0,0,3,0,0
1,1011,Baños de Ebro/Mañueta,333,0,1,-1,3,2,1,1,-1,2,-2,-1,0,0,0,2,-2,0,0,1,-1,0,0,-1,0,0,1,1,0,0,0,0,1,1,-1,0,0,0,0,0,1,0,0
1,1013,Barrundia,590,-10,-8,-2,-2,-1,-1,-4,-2,-2,-5,4,0,-2,-1,-1,-4,3,-3,-2,-1,-1,-1,1,3,1,0,-3,0,0,0,0,0,-1,0,0,0,1,0,-2,0,0,0
1,1014,Berantevilla,422,-4,-4,0,2,1,1,0,0,1,-5,-1,0,-4,0,0,-3,1,1,4,0,1,-2,-2,-1,1,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0
