COD_PROVINCIA,COD_PROVMUNI,MUNICIPIO,POBLACION_1999,2008_SALDOTOTAL,2008_SALDOTOTAL_HOMBRES,2008_SALDOTOTAL_MUJERES,2008_SALDOEXT_TOTAL,2008_SALDOEXT_HOMBRES,2008_SALDOEXT_MUJERES,2008_SALDOTOTAL_MENORES,2008_SALDOTOTAL_ESTUDIANTES,2008_SALDOTOTAL_TRABAJADORES,2008_SALDOTOTAL_MADUREZ1,2008_SALDOTOTAL_MADUREZ2,2008_SALDOTOTAL_JUBILADOS,2008_SALDOHOMBRES_MENORES,2008_SALDOHOMBRES_ESTUDIANTES,2008_SALDOHOMBRES_TRABAJADORES,2008_SALDOHOMBRES_MADUREZ1,2008_SALDOHOMBRES_MADUREZ2,2008_SALDOHOMBRES_JUBILADOS,2008_SALDOMUJERES_MENORES,2008_SALDOMUJERES_ESTUDIANTES,2008_SALDOMUJERES_TRABAJADORES,2008_SALDOMUJERES_MADUREZ1,2008_SALDOMUJERES_MADUREZ2,2008_SALDOMUJERES_JUBILADOS,2008_SALDOEXT_MENORES,2008_SALDOEXT_ESTUDIANTES,2008_SALDOEXT_TRABAJADORES,2008_SALDOEXT_MADUREZ1,2008_SALDOEXT_MADUREZ2,2008_SALDOEXT_JUBILADOS,2008_SALDOEXT_HOMBRES_MENORES,2008_SALDOEXT_HOMBRES_ESTUDIANTES,2008_SALDOEXT_HOMBRES_TRABAJADORES,2008_SALDOEXT_HOMBRES_MADUREZ1,2008_SALDOEXT_HOMBRES_MADUREZ2,2008_SALDOEXT_HOMBRES_JUBILADOS,2008_SALDOEXT_MUJERES_MENORES,2008_SALDOEXT_MUJERES_ESTUDIANTES,2008_SALDOEXT_MUJERES_TRABAJADORES,2008_SALDOEXT_MUJERES_MADUREZ1,2008_SALDOEXT_MUJERES_MADUREZ2,2008_SALDOEXT_MUJERES_JUBILADOS
1,1001,Alegría-Dulantzi,1329,117,50,67,26,10,16,22,21,21,22,19,8,6,8,13,7,12,3,16,13,8,15,7,5,3,11,3,7,2,0,1,1,1,5,2,0,2,10,2,2,0,0
1,1002,Amurrio,9753,65,35,30,88,44,44,3,27,14,29,-4,-6,4,14,3,23,-6,-4,-1,13,11,6,2,-2,16,30,26,13,-1,2,7,18,11,10,-2,0,9,12,15,3,1,2
1,1049,Añana,188,2,2,0,6,3,3,4,-1,0,-1,0,0,3,0,-1,0,0,0,1,-1,1,-1,0,0,4,0,1,1,0,0,3,0,0,0,0,0,1,0,1,1,0,0
1,1003,Aramaio,1373,10,2,8,13,3,10,2,4,0,-4,6,2,2,2,1,-3,0,1,0,2,-1,-1,6,1,5,1,3,3,1,0,1,0,0,2,0,0,4,1,3,1,1,0
1,1037,Arraia-Maeztu,712,8,8,0,9,5,4,5,0,7,3,-1,-5,2,1,4,2,1,-1,3,-1,3,1,-2,-4,1,2,4,2,0,0,0,1,2,2,0,0,1,1,2,0,0,0
1,1008,Arrazua-Ubarrundia,756,16,14,2,7,6,1,6,0,12,-6,5,-3,5,3,6,-1,4,-4,1,-3,6,-5,1,1,1,3,3,-1,0,1,1,3,2,0,0,0,0,0,1,-1,0,1
1,1004,Artziniega,1338,57,23,34,9,2,7,7,8,23,8,5,6,1,1,11,7,4,0,6,7,12,1,1,6,0,3,2,2,2,0,-3,1,1,1,2,0,3,2,1,1,0,0
1,1009,Asparrena,1561,52,23,29,16,9,7,14,12,23,0,7,-6,11,2,15,-5,4,-4,3,10,8,5,3,-2,5,2,7,2,0,0,4,0,4,1,0,0,1,2,3,1,0,0
1,1010,Ayala/Aiara,2031,23,12,11,-1,0,-1,-8,6,16,12,-5,1,-3,3,10,3,-3,1,-5,3,6,9,-2,0,-2,-1,2,0,0,0,0,-1,0,1,0,0,-2,0,2,-1,0,0
1,1011,Baños de Ebro/Mañueta,333,-17,-14,-3,-15,-13,-2,1,-4,-10,-5,1,0,0,-2,-7,-5,0,0,1,-2,-3,0,1,0,-1,-4,-5,-4,-1,0,-1,-2,-5,-4,-1,0,0,-2,0,0,0,0
1,1013,Barrundia,590,36,14,22,3,1,2,12,-2,6,12,4,2,4,-2,1,6,4,0,8,0,5,6,0,2,1,-2,2,2,0,0,0,-2,1,2,0,0,1,0,1,0,0,0
1,1016,Bernedo,544,-7,-8,1,2,1,1,-1,1,-5,4,5,-8,-1,1,-4,0,3,-4,0,0,-1,4,2,-4,-1,1,1,1,0,0,0,1,0,0,0,0,-1,0,1,1,0,0
1,1017,Campezo/Kanpezu,1062,6,4,2,8,7,1,4,-5,8,3,3,-8,4,0,2,1,0,-4,0,-5,6,2,3,-4,1,0,2,4,1,0,2,1,1,3,0,0,-1,-1,1,1,1,0
