COD_PROVINCIA,COD_PROVMUNI,MUNICIPIO,POBLACION_1999,2011_SALDOTOTAL,2011_SALDOTOTAL_HOMBRES,2011_SALDOTOTAL_MUJERES,2011_SALDOEXT_TOTAL,2011_SALDOEXT_HOMBRES,2011_SALDOEXT_MUJERES,2011_SALDOTOTAL_MENORES,2011_SALDOTOTAL_ESTUDIANTES,2011_SALDOTOTAL_TRABAJADORES,2011_SALDOTOTAL_MADUREZ1,2011_SALDOTOTAL_MADUREZ2,2011_SALDOTOTAL_JUBILADOS,2011_SALDOHOMBRES_MENORES,2011_SALDOHOMBRES_ESTUDIANTES,2011_SALDOHOMBRES_TRABAJADORES,2011_SALDOHOMBRES_MADUREZ1,2011_SALDOHOMBRES_MADUREZ2,2011_SALDOHOMBRES_JUBILADOS,2011_SALDOMUJERES_MENORES,2011_SALDOMUJERES_ESTUDIANTES,2011_SALDOMUJERES_TRABAJADORES,2011_SALDOMUJERES_MADUREZ1,2011_SALDOMUJERES_MADUREZ2,2011_SALDOMUJERES_JUBILADOS,2011_SALDOEXT_MENORES,2011_SALDOEXT_ESTUDIANTES,2011_SALDOEXT_TRABAJADORES,2011_SALDOEXT_MADUREZ1,2011_SALDOEXT_MADUREZ2,2011_SALDOEXT_JUBILADOS,2011_SALDOEXT_HOMBRES_MENORES,2011_SALDOEXT_HOMBRES_ESTUDIANTES,2011_SALDOEXT_HOMBRES_TRABAJADORES,2011_SALDOEXT_HOMBRES_MADUREZ1,2011_SALDOEXT_HOMBRES_MADUREZ2,2011_SALDOEXT_HOMBRES_JUBILADOS,2011_SALDOEXT_MUJERES_MENORES,2011_SALDOEXT_MUJERES_ESTUDIANTES,2011_SALDOEXT_MUJERES_TRABAJADORES,2011_SALDOEXT_MUJERES_MADUREZ1,2011_SALDOEXT_MUJERES_MADUREZ2,2011_SALDOEXT_MUJERES_JUBILADOS
1,1001,Alegría-Dulantzi,1329,42,12,30,-13,-13,0,15,14,9,-2,-4,4,0,10,4,-2,-6,3,15,4,5,0,2,1,7,2,-8,-7,-6,-1,2,0,-2,-6,-6,-1,5,2,-6,-1,0,0
1,1002,Amurrio,9753,88,42,46,28,8,20,12,11,29,22,6,8,-1,4,8,23,4,5,13,7,21,-1,2,3,5,9,7,3,3,1,1,4,-1,0,3,1,4,5,8,3,0,0
1,1003,Aramaio,1373,15,7,8,11,4,7,8,0,5,6,-1,-5,2,1,4,0,0,-1,6,-1,1,6,-1,-4,5,0,2,4,0,0,1,0,1,2,0,0,4,0,1,2,0,0
1,1037,Arraia-Maeztu,712,8,8,0,2,1,1,4,-1,13,2,-5,-5,6,-1,6,0,-1,-2,-2,0,7,2,-4,-3,0,1,1,1,0,-1,0,0,1,1,0,-1,0,1,0,0,0,0
1,1008,Arrazua-Ubarrundia,756,27,12,15,2,1,1,4,3,10,16,-2,-6,-1,0,5,7,1,-2,5,3,5,9,-3,-4,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0
1,1004,Artziniega,1338,0,12,-12,-3,-1,-2,-1,1,-10,1,4,1,-1,4,-1,3,3,1,0,-3,-9,-2,1,0,-2,-1,-1,-1,2,0,-1,1,-1,0,0,0,-1,-2,0,-1,2,0
1,1009,Asparrena,1561,12,6,6,14,8,6,13,5,-5,7,-4,-6,8,1,-3,2,0,-2,5,4,-2,5,-4,-4,8,0,2,2,2,0,6,-1,0,1,2,0,2,1,2,1,0,0
1,1010,Ayala/Aiara,2031,15,14,1,6,0,6,9,1,1,9,0,-2,7,3,5,2,1,-2,2,-2,-4,7,-1,0,3,1,1,0,1,0,0,1,0,-1,0,0,3,0,1,1,1,0
1,1011,Baños de Ebro/Mañueta,333,-4,-1,-3,2,1,1,0,0,-1,0,-3,0,0,0,0,0,-1,0,0,0,-1,0,-2,0,2,0,1,0,-1,0,1,0,0,0,0,0,1,0,1,0,-1,0
1,1013,Barrundia,590,6,0,6,2,0,2,7,2,4,4,-8,-5,5,1,0,1,-4,-4,2,1,4,3,-4,-1,2,0,0,1,-1,0,1,0,0,0,-1,0,1,0,0,1,0,0
